FID1	FID2	0
Ex1	Ex10	40
Ex1	Ex11	43
Ex1	Ex12	20
Ex1	Ex13	35
Ex1	Ex14	16
Ex1	Ex15	38
Ex1	Ex16	42
Ex1	Ex17	39
Ex1	Ex18	38
Ex1	Ex19	41
Ex1	Ex2	16
Ex1	Ex20	45
Ex1	Ex21	39
Ex1	Ex22	41
Ex1	Ex23	48
Ex1	Ex3	35
Ex1	Ex4	34
Ex1	Ex5	35
Ex1	Ex6	39
Ex1	Ex7	38
Ex1	Ex8	34
Ex1	Ex9	46
Ex10	Ex11	29
Ex10	Ex12	34
Ex10	Ex13	28
Ex10	Ex14	32
Ex10	Ex15	32
Ex10	Ex16	19
Ex10	Ex17	16
Ex10	Ex18	30
Ex10	Ex19	23
Ex10	Ex2	33
Ex10	Ex20	36
Ex10	Ex21	28
Ex10	Ex22	22
Ex10	Ex23	28
Ex10	Ex3	28
Ex10	Ex4	27
Ex10	Ex5	28
Ex10	Ex6	4
Ex10	Ex7	14
Ex10	Ex8	28
Ex10	Ex9	36
Ex11	Ex12	42
Ex11	Ex13	21
Ex11	Ex14	29
Ex11	Ex15	24
Ex11	Ex16	32
Ex11	Ex17	33
Ex11	Ex18	20
Ex11	Ex19	40
Ex11	Ex2	38
Ex11	Ex20	28
Ex11	Ex21	23
Ex11	Ex22	39
Ex11	Ex23	42
Ex11	Ex3	32
Ex11	Ex4	31
Ex11	Ex5	22
Ex11	Ex6	29
Ex11	Ex7	30
Ex11	Ex8	31
Ex11	Ex9	36
Ex12	Ex13	29
Ex12	Ex14	10
Ex12	Ex15	32
Ex12	Ex16	37
Ex12	Ex17	38
Ex12	Ex18	33
Ex12	Ex19	39
Ex12	Ex2	13
Ex12	Ex20	35
Ex12	Ex21	35
Ex12	Ex22	40
Ex12	Ex23	45
Ex12	Ex3	29
Ex12	Ex4	29
Ex12	Ex5	32
Ex12	Ex6	34
Ex12	Ex7	33
Ex12	Ex8	29
Ex12	Ex9	39
Ex13	Ex14	26
Ex13	Ex15	16
Ex13	Ex16	29
Ex13	Ex17	29
Ex13	Ex18	16
Ex13	Ex19	32
Ex13	Ex2	26
Ex13	Ex20	21
Ex13	Ex21	18
Ex13	Ex22	31
Ex13	Ex23	39
Ex13	Ex3	24
Ex13	Ex4	21
Ex13	Ex5	16
Ex13	Ex6	26
Ex13	Ex7	25
Ex13	Ex8	22
Ex13	Ex9	17
Ex14	Ex15	29
Ex14	Ex16	33
Ex14	Ex17	32
Ex14	Ex18	29
Ex14	Ex19	33
Ex14	Ex2	9
Ex14	Ex20	36
Ex14	Ex21	29
Ex14	Ex22	36
Ex14	Ex23	38
Ex14	Ex3	27
Ex14	Ex4	24
Ex14	Ex5	28
Ex14	Ex6	30
Ex14	Ex7	28
Ex14	Ex8	25
Ex14	Ex9	34
Ex15	Ex16	34
Ex15	Ex17	33
Ex15	Ex18	10
Ex15	Ex19	37
Ex15	Ex2	32
Ex15	Ex20	13
Ex15	Ex21	16
Ex15	Ex22	37
Ex15	Ex23	42
Ex15	Ex3	28
Ex15	Ex4	23
Ex15	Ex5	13
Ex15	Ex6	30
Ex15	Ex7	29
Ex15	Ex8	24
Ex15	Ex9	25
Ex16	Ex17	10
Ex16	Ex18	28
Ex16	Ex19	13
Ex16	Ex2	35
Ex16	Ex20	38
Ex16	Ex21	32
Ex16	Ex22	11
Ex16	Ex23	21
Ex16	Ex3	27
Ex16	Ex4	24
Ex16	Ex5	30
Ex16	Ex6	15
Ex16	Ex7	6
Ex16	Ex8	24
Ex16	Ex9	37
Ex17	Ex18	31
Ex17	Ex19	13
