FID1	FID2	0
Ex1	Ex10	71
Ex1	Ex11	77
Ex1	Ex12	9
Ex1	Ex13	88
Ex1	Ex14	7
Ex1	Ex15	180
Ex1	Ex16	90
Ex1	Ex17	88
Ex1	Ex18	146
Ex1	Ex19	89
Ex1	Ex2	7
Ex1	Ex20	177
Ex1	Ex21	134
Ex1	Ex22	88
Ex1	Ex23	85
Ex1	Ex3	41
Ex1	Ex4	43
Ex1	Ex5	148
Ex1	Ex6	71
Ex1	Ex7	91
Ex1	Ex8	44
Ex1	Ex9	88
Ex10	Ex11	86
Ex10	Ex12	72
Ex10	Ex13	95
Ex10	Ex14	68
Ex10	Ex15	187
Ex10	Ex16	41
Ex10	Ex17	43
Ex10	Ex18	155
Ex10	Ex19	40
Ex10	Ex2	72
Ex10	Ex20	186
Ex10	Ex21	139
Ex10	Ex22	41
Ex10	Ex23	38
Ex10	Ex3	50
Ex10	Ex4	52
Ex10	Ex5	155
Ex10	Ex6	2
Ex10	Ex7	42
Ex10	Ex8	49
Ex10	Ex9	95
Ex11	Ex12	78
Ex11	Ex13	15
Ex11	Ex14	76
Ex11	Ex15	109
Ex11	Ex16	105
Ex11	Ex17	103
Ex11	Ex18	113
Ex11	Ex19	104
Ex11	Ex2	80
Ex11	Ex20	106
Ex11	Ex21	61
Ex11	Ex22	103
Ex11	Ex23	100
Ex11	Ex3	58
Ex11	Ex4	60
Ex11	Ex5	75
Ex11	Ex6	86
Ex11	Ex7	106
Ex11	Ex8	61
Ex11	Ex9	15
Ex12	Ex13	89
Ex12	Ex14	6
Ex12	Ex15	181
Ex12	Ex16	91
Ex12	Ex17	85
Ex12	Ex18	147
Ex12	Ex19	90
Ex12	Ex2	6
Ex12	Ex20	178
Ex12	Ex21	129
Ex12	Ex22	83
Ex12	Ex23	82
Ex12	Ex3	42
Ex12	Ex4	44
Ex12	Ex5	149
Ex12	Ex6	72
Ex12	Ex7	92
Ex12	Ex8	45
Ex12	Ex9	89
Ex13	Ex14	85
Ex13	Ex15	110
Ex13	Ex16	116
Ex13	Ex17	114
Ex13	Ex18	114
Ex13	Ex19	113
Ex13	Ex2	91
Ex13	Ex20	107
Ex13	Ex21	62
Ex13	Ex22	114
Ex13	Ex23	109
Ex13	Ex3	69
Ex13	Ex4	71
Ex13	Ex5	76
Ex13	Ex6	95
Ex13	Ex7	115
Ex13	Ex8	70
Ex13	Ex9	6
Ex14	Ex15	177
Ex14	Ex16	89
Ex14	Ex17	87
Ex14	Ex18	143
Ex14	Ex19	84
Ex14	Ex2	8
Ex14	Ex20	172
Ex14	Ex21	129
Ex14	Ex22	85
Ex14	Ex23	80
Ex14	Ex3	40
Ex14	Ex4	42
Ex14	Ex5	145
Ex14	Ex6	66
Ex14	Ex7	86
Ex14	Ex8	41
Ex14	Ex9	83
Ex15	Ex16	208
Ex15	Ex17	208
Ex15	Ex18	40
Ex15	Ex19	205
Ex15	Ex2	181
Ex15	Ex20	7
Ex15	Ex21	66
Ex15	Ex22	208
Ex15	Ex23	203
Ex15	Ex3	163
Ex15	Ex4	163
Ex15	Ex5	110
Ex15	Ex6	189
Ex15	Ex7	205
Ex15	Ex8	162
Ex15	Ex9	108
Ex16	Ex17	10
Ex16	Ex18	174
Ex16	Ex19	15
Ex16	Ex2	91
Ex16	Ex20	207
Ex16	Ex21	160
Ex16	Ex22	8
Ex16	Ex23	21
Ex16	Ex3	69
Ex16	Ex4	71
Ex16	Ex5	176
Ex16	Ex6	43
Ex16	Ex7	11
Ex16	Ex8	70
Ex16	Ex9	116
Ex17	Ex18	172
Ex17	Ex19	15
Ex17	Ex2	87
Ex17	Ex20	205
Ex17	Ex21	156
Ex17	Ex22	4
Ex17	Ex23	15
Ex17	Ex3	67
Ex17	Ex4	69
Ex17	Ex5	174
Ex17	Ex6	43
Ex17	Ex7	11
Ex17	Ex8	70
Ex17	Ex9	114
Ex18	Ex19	169
Ex18	Ex2	149
Ex18	Ex20	43
Ex18	Ex21	96
Ex18	Ex22	172
Ex18	Ex23	167
Ex18	Ex3	127
Ex18	Ex4	127
Ex18	Ex5	138
Ex18	Ex6	153
Ex18	Ex7	171
Ex18	Ex8	130
Ex18	Ex9	112
Ex19	Ex2	92
Ex19	Ex20	200
Ex19	Ex21	157
Ex19	Ex22	13
Ex19	Ex23	16
Ex19	Ex3	68
Ex19	Ex4	68
Ex19	Ex5	171
Ex19	Ex6	38
Ex19	Ex7	12
Ex19	Ex8	69
Ex19	Ex9	109
Ex2	Ex20	180
Ex2	Ex21	129
Ex2	Ex22	85
Ex2	Ex23	84
Ex2	Ex3	44
Ex2	Ex4	46
Ex2	Ex5	151
Ex2	Ex6	74
Ex2	Ex7	92
Ex2	Ex8	45
Ex2	Ex9	91
Ex20	Ex21	65
Ex20	Ex22	205
Ex20	Ex23	196
Ex20	Ex3	160
Ex20	Ex4	160
Ex20	Ex5	107
Ex20	Ex6	184
Ex20	Ex7	202
Ex20	Ex8	161
Ex20	Ex9	103
Ex21	Ex22	154
Ex21	Ex23	151
Ex21	Ex3	115
Ex21	Ex4	115
Ex21	Ex5	62
Ex21	Ex6	141
Ex21	Ex7	157
Ex21	Ex8	114
Ex21	Ex9	60
Ex22	Ex23	15
Ex22	Ex3	67
Ex22	Ex4	69
Ex22	Ex5	174
Ex22	Ex6	41
Ex22	Ex7	11
Ex22	Ex8	70
Ex22	Ex9	114
Ex23	Ex3	64
Ex23	Ex4	66
Ex23	Ex5	169
Ex23	Ex6	36
Ex23	Ex7	18
Ex23	Ex8	65
Ex23	Ex9	107
Ex3	Ex4	4
Ex3	Ex5	129
Ex3	Ex6	50
Ex3	Ex7	70
Ex3	Ex8	5
Ex3	Ex9	69
Ex4	Ex5	129
Ex4	Ex6	52
Ex4	Ex7	70
Ex4	Ex8	3
Ex4	Ex9	69
Ex5	Ex6	155
Ex5	Ex7	173
Ex5	Ex8	130
Ex5	Ex9	74
Ex6	Ex7	42
Ex6	Ex8	51
Ex6	Ex9	93
Ex7	Ex8	69
Ex7	Ex9	111
Ex8	Ex9	70
