FID1	FID2	0
Ex1	Ex10	28
Ex1	Ex11	27
Ex1	Ex12	10
Ex1	Ex13	25
Ex1	Ex14	8
Ex1	Ex15	29
Ex1	Ex16	31
Ex1	Ex17	30
Ex1	Ex18	28
Ex1	Ex19	30
Ex1	Ex2	8
Ex1	Ex20	29
Ex1	Ex21	27
Ex1	Ex22	29
Ex1	Ex23	36
Ex1	Ex3	25
Ex1	Ex4	24
Ex1	Ex5	26
Ex1	Ex6	28
Ex1	Ex7	28
Ex1	Ex8	23
Ex1	Ex9	30
Ex10	Ex11	20
Ex10	Ex12	24
Ex10	Ex13	21
Ex10	Ex14	24
Ex10	Ex15	25
Ex10	Ex16	13
Ex10	Ex17	10
Ex10	Ex18	23
Ex10	Ex19	15
Ex10	Ex2	26
Ex10	Ex20	25
Ex10	Ex21	21
Ex10	Ex22	12
Ex10	Ex23	20
Ex10	Ex3	22
Ex10	Ex4	21
Ex10	Ex5	22
Ex10	Ex6	0
Ex10	Ex7	11
Ex10	Ex8	21
Ex10	Ex9	25
Ex11	Ex12	22
Ex11	Ex13	11
Ex11	Ex14	20
Ex11	Ex15	17
Ex11	Ex16	24
Ex11	Ex17	23
Ex11	Ex18	14
Ex11	Ex19	27
Ex11	Ex2	23
Ex11	Ex20	16
Ex11	Ex21	15
Ex11	Ex22	24
Ex11	Ex23	33
Ex11	Ex3	20
Ex11	Ex4	20
Ex11	Ex5	14
Ex11	Ex6	20
Ex11	Ex7	23
Ex11	Ex8	19
Ex11	Ex9	17
Ex12	Ex13	19
Ex12	Ex14	4
Ex12	Ex15	24
Ex12	Ex16	26
Ex12	Ex17	26
Ex12	Ex18	22
Ex12	Ex19	27
Ex12	Ex2	6
Ex12	Ex20	23
Ex12	Ex21	24
Ex12	Ex22	26
Ex12	Ex23	34
Ex12	Ex3	21
Ex12	Ex4	19
Ex12	Ex5	22
Ex12	Ex6	23
Ex12	Ex7	23
Ex12	Ex8	20
Ex12	Ex9	26
Ex13	Ex14	19
Ex13	Ex15	12
Ex13	Ex16	23
Ex13	Ex17	23
Ex13	Ex18	11
Ex13	Ex19	24
Ex13	Ex2	21
Ex13	Ex20	12
Ex13	Ex21	13
Ex13	Ex22	23
Ex13	Ex23	31
Ex13	Ex3	20
Ex13	Ex4	18
Ex13	Ex5	11
Ex13	Ex6	20
Ex13	Ex7	20
Ex13	Ex8	19
Ex13	Ex9	9
Ex14	Ex15	23
Ex14	Ex16	27
Ex14	Ex17	26
Ex14	Ex18	23
Ex14	Ex19	25
Ex14	Ex2	4
Ex14	Ex20	23
Ex14	Ex21	22
Ex14	Ex22	24
Ex14	Ex23	32
Ex14	Ex3	21
Ex14	Ex4	19
Ex14	Ex5	21
Ex14	Ex6	23
Ex14	Ex7	23
Ex14	Ex8	20
Ex14	Ex9	23
Ex15	Ex16	28
Ex15	Ex17	27
Ex15	Ex18	6
Ex15	Ex19	29
Ex15	Ex2	25
Ex15	Ex20	3
Ex15	Ex21	11
Ex15	Ex22	27
Ex15	Ex23	34
Ex15	Ex3	25
Ex15	Ex4	21
Ex15	Ex5	9
Ex15	Ex6	24
Ex15	Ex7	24
Ex15	Ex8	22
Ex15	Ex9	19
Ex16	Ex17	6
Ex16	Ex18	23
Ex16	Ex19	8
Ex16	Ex2	28
Ex16	Ex20	28
Ex16	Ex21	26
Ex16	Ex22	5
